Model,Oto Acc,Oto BalAcc,Oto MacroF1,Endo Acc,Endo BalAcc,Endo MacroF1
Endoscope,0.6556,0.611,0.6253,0.9649,0.9419,0.9436
Endoscope + C,0.6556,0.5681,0.5318,0.9486,0.9105,0.9131
Endoscope + EB,0.8,0.7505,0.7349,0.9703,0.9502,0.9507
"Endoscope + C, EB",0.8556,0.7845,0.814,0.9486,0.92,0.9165
Endoscope + S,0.8444,0.809,0.8049,0.9622,0.9344,0.938
"Endoscope + C, S",0.9111,0.8581,0.8723,0.9514,0.9163,0.9139
"Endoscope + S, EB",0.8778,0.8986,0.8656,0.9568,0.942,0.9355
"Endoscope + C, S, EB",0.9556,0.9289,0.938,0.9514,0.9044,0.9216
