Model,Oto Acc,Oto BalAcc,Oto MacroF1,Endo Acc,Endo BalAcc,Endo MacroF1
Endoscope,0.6556,0.611,0.6253,0.9649,0.9419,0.9436
Endoscope + C,0.6556,0.5681,0.5318,0.9486,0.9105,0.9131
Endoscope + EB,0.8,0.7505,0.7349,0.9703,0.9502,0.9507
"Endoscope + C, EB",0.8556,0.7845,0.814,0.9486,0.92,0.9165
Endoscope + S,0.8889,0.8555,0.8701,0.9432,0.9027,0.9094
"Endoscope + C, S",0.9111,0.8847,0.8852,0.9595,0.9322,0.9391
"Endoscope + S, EB",0.9444,0.9411,0.939,0.9541,0.9169,0.9242
"Endoscope + C, S, EB",0.9222,0.8931,0.9039,0.9378,0.885,0.8902
